Sencilla0.457mm;Toma1;Toma2;Toma3;Toma4;Toma5;Toma1Fix;Toma2Fix;Toma3Fix;Toma4Fix;Toma5Fix;Prom;Desv;;;;;
6.3;166;163;161;169;169;161.4;158.4;156.4;164.4;164.4;161;3.577708764;;;;;
6.4;161;155;158;167;159;156.4;150.4;153.4;162.4;154.4;155.4;4.472135955;;;;;
6.5;143;151;149;157;156;138.4;146.4;144.4;152.4;151.4;146.6;5.674504384;;;;;
6.6;151;143;153;144;140;146.4;138.4;148.4;139.4;135.4;141.6;5.540758071;;;;;
6.7;149;144;154;134;144;144.4;139.4;149.4;129.4;139.4;140.4;7.416198487;;;;;
6.8;136;139;143;135;138;131.4;134.4;138.4;130.4;133.4;133.6;3.1144823;;;;;
6.9;129;136;130;138;140;124.4;131.4;125.4;133.4;135.4;130;4.878524367;;;;;
7;125;129;130;125;126;120.4;124.4;125.4;120.4;121.4;122.4;2.34520788;;;;;
7.1;113;122;123;128;123;108.4;117.4;118.4;123.4;118.4;117.2;5.449770637;;;;;
7.2;105;115;114;107;114;100.4;110.4;109.4;102.4;109.4;106.4;4.636809248;;;;;
7.3;108;114;102;103;107;103.4;109.4;97.4;98.4;102.4;102.2;4.7644517;;;;;
7.4;94;98;99;90;96;89.4;93.4;94.4;85.4;91.4;90.8;3.577708764;;;;;
7.5;83;79;96;92;81;78.4;74.4;91.4;87.4;76.4;81.6;7.395944835;;;;;
7.6;79;76;80;91;75;74.4;71.4;75.4;86.4;70.4;75.6;6.379655163;;;;;
7.7;72;75;73;71;69;67.4;70.4;68.4;66.4;64.4;67.4;2.236067977;;;;;
7.8;66;63;70;68;73;61.4;58.4;65.4;63.4;68.4;63.4;3.807886553;;;;;
7.9;61;59;58;68;57;56.4;54.4;53.4;63.4;52.4;56;4.393176527;;;;;
8;53;54;67;63;52;48.4;49.4;62.4;58.4;47.4;53.2;6.760177512;;;;;
8.1;64;48;45;51;48;59.4;43.4;40.4;46.4;43.4;46.6;7.463243263;;;;;
8.2;44;47;51;47;48;39.4;42.4;46.4;42.4;43.4;42.8;2.50998008;;;;;
8.3;39;35;39;47;37;34.4;30.4;34.4;42.4;32.4;34.8;4.5607017;;;;;
8.4;39;35;39;34;36;34.4;30.4;34.4;29.4;31.4;32;2.302172887;;;;;
8.5;33;40;41;38;36;28.4;35.4;36.4;33.4;31.4;33;3.209361307;;;;;
8.6;33;35;33;41;35;28.4;30.4;28.4;36.4;30.4;30.8;3.286335345;;;;;
8.7;27;29;34;28;29;22.4;24.4;29.4;23.4;24.4;24.8;2.701851217;;;;;
8.8;21;23;21;18;21;16.4;18.4;16.4;13.4;16.4;16.2;1.788854382;;;;;
8.9;22;27;25;25;24;17.4;22.4;20.4;20.4;19.4;20;1.816590212;;;;;
9;27;22;26;28;27;22.4;17.4;21.4;23.4;22.4;21.4;2.34520788;;;;;
