Doble0.457mm;Toma1;Toma2;Toma3;Toma4;Toma5;Toma1Fix;Toma2Fix;Toma3Fix;Toma4Fix;Toma5Fix;Prom;Desv
6.4;54;57;62;67;64;49.4;52.4;57.4;62.4;59.4;56.2;5.263078947
6.5;77;73;72;64;67;72.4;68.4;67.4;59.4;62.4;66;5.128352562
6.6;81;85;76;81;78;76.4;80.4;71.4;76.4;73.4;75.6;3.420526275
6.7;75;81;88;73;68;70.4;76.4;83.4;68.4;63.4;72.4;7.71362431
6.8;57;55;61;55;62;52.4;50.4;56.4;50.4;57.4;53.4;3.31662479
6.9;52;62;56;53;53;47.4;57.4;51.4;48.4;48.4;50.6;4.086563348
7;51;54;49;48;53;46.4;49.4;44.4;43.4;48.4;46.4;2.549509757
7.1;43;47;47;38;47;38.4;42.4;42.4;33.4;42.4;39.8;3.974921383
7.2;29;42;33;34;31;24.4;37.4;28.4;29.4;26.4;29.2;4.969909456
7.3;24;29;24;30;28;19.4;24.4;19.4;25.4;23.4;22.4;2.828427125
7.4;27;27;28;26;31;22.4;22.4;23.4;21.4;26.4;23.2;1.923538406
7.5;34;31;35;37;33;29.4;26.4;30.4;32.4;28.4;29.4;2.236067977
7.6;33;34;33;36;33;28.4;29.4;28.4;31.4;28.4;29.2;1.303840481
7.7;28;34;23;31;25;23.4;29.4;18.4;26.4;20.4;23.6;4.438468204
7.8;23;25;29;19;28;18.4;20.4;24.4;14.4;23.4;20.2;4.024922359
7.9;13;18;19;19;19;8.4;13.4;14.4;14.4;14.4;13;2.607680962
